Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-June-2022,227.65,231.15,224.90,227.85,228.124813459797829212,657365,8624,149961268.00,187756,28.56,6.25,0.20
24-June-2022,220.60,224.75,217.50,221.40,221.614768920238662533,1103818,15934,244622371.00,275682,24.98,7.25,0.80
23-June-2022,221.00,226.00,216.10,219.45,221.495124878738552097,1520475,19659,336777800.00,334863,22.02,9.90,-1.55
22-June-2022,235.95,235.95,221.10,222.20,226.478790119732802701,822164,10770,186202708.00,226544,27.55,14.85,-13.75
21-June-2022,236.40,243.60,227.00,236.00,234.399325958388020427,1888014,20913,442549209.00,242106,12.82,16.60,-0.40
20-June-2022,263.65,263.65,221.70,230.25,232.378802780634999993,2928252,36213,680463694.00,826012,28.21,41.95,-33.40
17-June-2022,267.65,272.00,262.90,263.65,266.771165442822555361,953689,17895,254416726.00,214336,22.47,9.10,-4.00
16-June-2022,295.80,296.45,266.00,267.65,277.132534126314059219,1070728,26906,296733564.00,361418,33.75,30.45,-28.15
15-June-2022,292.00,295.95,290.65,291.40,293.137948983177842758,301626,6643,88418027.00,71131,23.58,5.30,-0.60
14-June-2022,289.90,296.15,288.95,291.25,292.124099259108900842,512356,5771,149671535.00,101233,19.76,7.20,1.35
13-June-2022,295.85,298.45,286.60,289.70,290.135148560565775186,628094,17362,182232146.00,248755,39.60,11.85,-6.15
10-June-2022,300.00,303.35,294.80,301.20,299.096434099657045505,314619,5320,94101421.00,56534,17.97,8.55,1.20
9-June-2022,312.15,316.20,299.50,302.85,307.012191587225119587,1000526,15995,307173680.00,212130,21.20,16.70,-9.30
8-June-2022,317.30,317.50,311.50,313.25,314.856979905982118167,173584,3281,54654134.00,41831,24.10,6.00,-4.05
7-June-2022,317.20,320.60,312.20,314.80,314.817493069862260141,927110,9117,291870446.00,182364,19.67,8.40,-2.40
6-June-2022,310.50,323.45,310.10,320.75,317.100906393218206089,235218,3827,74587841.00,53889,22.91,13.35,10.25
3-June-2022,323.00,325.35,315.60,316.75,319.707786975041127735,269283,4328,86091872.00,57808,21.47,9.75,-6.25
2-June-2022,316.10,323.00,315.65,321.55,318.171323423154365648,518995,4366,165129326.00,83288,16.05,7.35,5.45
1-June-2022,320.00,327.15,313.45,315.90,319.280092573926086009,620045,9118,197968025.00,120244,19.39,13.70,-4.10
31-May-2022,310.50,327.20,309.50,321.00,319.469151024779129607,672340,8126,214791889.00,161982,24.09,17.70,10.50
30-May-2022,308.60,314.80,307.25,313.15,310.157167625751483778,885914,9233,274772577.00,179767,20.29,7.55,4.55
27-May-2022,316.70,319.20,303.45,307.85,310.136371725815765309,1056370,8698,327618759.00,93436,8.84,15.75,-8.85
26-May-2022,307.65,314.30,294.05,313.00,305.037045131328389268,622295,10863,189823028.00,108979,17.51,20.25,5.35
25-May-2022,307.00,310.50,300.10,302.85,303.051052548330541832,5108364,10789,1548095087.00,4118148,80.62,10.40,-4.15
24-May-2022,307.10,317.00,303.30,305.55,310.207655652286084164,651179,12628,202000711.00,107757,16.55,13.70,-1.55
23-May-2022,310.60,311.45,292.80,305.70,302.562968214503909070,1224332,21018,370437524.00,189202,15.45,18.65,-4.90
20-May-2022,316.85,319.85,309.65,314.40,314.298706492653380604,517585,7902,162676296.00,86450,16.70,10.20,-2.45
19-May-2022,309.80,311.60,297.80,303.45,303.969121835028721984,553757,10121,168325029.00,127938,23.10,13.80,-6.35
